JAPONICA NIPPONBARE POSITIONS	ASSAY ID	ACCESSION	SUBPOPULATION
PADI ARA::IRGC 54252-2::[IRIS 313-11497]	IRIS 313-11497	IRGC 135630	ind2
MARIA GAKIT::IRGC 57070-1::[IRIS 313-11532]	IRIS 313-11532	IRGC 132016	trop
SP 6 (WC 836)::IRGC 57602-1::[IRIS 313-11539]	IRIS 313-11539	IRGC 128475	trop
HOE PHAR THAE::IRGC 57907-1::[IRIS 313-11541]	IRIS 313-11541	IRGC 127410	indx
KYUN TAW SEIN::IRGC 58072-1::[IRIS 313-11543]	IRIS 313-11543	IRGC 127537	ind3
TAUNG LWIN::IRGC 58222-1::[IRIS 313-11548]	IRIS 313-11548	IRGC 127850	indx
GORIA::IRGC 58736-1::[IRIS 313-11557]	IRIS 313-11557	IRGC 127390	aus
RATO BASMATI::IRGC 59205-1::[IRIS 313-11567]	IRIS 313-11567	IRGC 127766	aro
SATHIYA::IRGC 59225-1::[IRIS 313-11568]	IRIS 313-11568	IRGC 127789	ind1A
BHATA PYAGI::IRGC 60895-1::[IRIS 313-11597]	IRIS 313-11597	IRGC 127222	ind2
JUGRAY::IRGC 60960-1::[IRIS 313-11599]	IRIS 313-11599	IRGC 127468	ind2
MALCHI::IRGC 61004-1::[IRIS 313-11602]	IRIS 313-11602	IRGC 127597	aus
SUGARKAND::IRGC 61059-1::[IRIS 313-11604]	IRIS 313-11604	IRGC 127829	aus
UPRH 31::IRGC 61503-1::[IRIS 313-11616]	IRIS 313-11616	IRGC 127878	admix
